story_id	title	name	changed_pixels	changed_percent	report_dir
design-system-atoms-button--variants	Design System/Atoms/Button	Variants	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-button--variants
design-system-atoms-button--compact	Design System/Atoms/Button	Compact	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-button--compact
design-system-atoms-checkboxrow--checked	Design System/Atoms/CheckboxRow	Checked	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-checkboxrow--checked
design-system-atoms-checkboxrow--unchecked	Design System/Atoms/CheckboxRow	Unchecked	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-checkboxrow--unchecked
design-system-atoms-errorcallout--api-error	Design System/Atoms/ErrorCallout	Api Error	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-errorcallout--api-error
design-system-atoms-errorcallout--preformatted	Design System/Atoms/ErrorCallout	Preformatted	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-errorcallout--preformatted
design-system-atoms-iconbutton--actions	Design System/Atoms/IconButton	Actions	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-iconbutton--actions
design-system-atoms-selectinput--basic	Design System/Atoms/SelectInput	Basic	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-selectinput--basic
design-system-atoms-textinput--examples	Design System/Atoms/TextInput	Examples	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-atoms-textinput--examples
design-system-foundation-caption--default	Design System/Foundation/Caption	Default	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-caption--default
design-system-foundation-caption--tones	Design System/Foundation/Caption	Tones	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-caption--tones
